City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Miguel Calmon,-11.4289,-40.595,298.5,67,100,1.77,BR,1643478428
Busselton,-33.65,115.3333,292.09,83,0,7.17,AU,1643478428
Ponda,15.4,74.0167,295.24,53,2,1.69,IN,1643478428
Nara,34.6851,135.8049,279.75,46,86,1.41,JP,1643478137
Butaritari,3.0707,172.7902,300.74,78,79,8.31,KI,1643478428
Kapaa,22.0752,-159.319,295.33,88,100,7.2,US,1643478428
Deputatsky,69.3,139.9,245.68,90,99,1.13,RU,1643478253
Punta Arenas,-53.15,-70.9167,287.16,50,75,8.75,CL,1643478428
New Norfolk,-42.7826,147.0587,288.87,98,30,0.5,AU,1643478429
Ushuaia,-54.8,-68.3,286.96,67,75,3.6,AR,1643478325
Atuona,-9.8,-139.0333,298.23,80,9,5.87,PF,1643478429
Salina Cruz,16.1667,-95.2,299.19,50,6,14.82,MX,1643478429
Tuatapere,-46.1333,167.6833,286.17,95,100,2.2,NZ,1643478429
Touros,-5.1989,-35.4608,303.65,63,86,3.86,BR,1643478429
Klaksvík,62.2266,-6.589,275.66,64,69,17.73,FO,1643478429
Rikitea,-23.1203,-134.9692,298.06,75,99,4.12,PF,1643478430
Werda,-25.2667,23.2833,296.64,67,72,6.68,BW,1643478430
Bandarbeyla,9.4942,50.8122,297.88,72,65,9.74,SO,1643478430
Hermanus,-34.4187,19.2345,299.21,67,0,7.74,ZA,1643478430
Atyrau,47.1167,51.8833,268.16,93,75,6.0,KZ,1643478430
Khani,41.9563,42.9566,269.91,85,83,2.54,GE,1643478430
Emerald,-23.5333,148.1667,296.23,73,40,2.57,AU,1643478430
Tigre,-34.426,-58.5796,302.17,49,20,3.09,AR,1643478418
Leningradskiy,69.3833,178.4167,252.49,84,75,0.61,RU,1643478241
Albany,42.6001,-73.9662,263.6,68,100,2.24,US,1643478431
Muisne,0.6,-80.0333,301.21,81,100,1.86,EC,1643478431
Saskylakh,71.9167,114.0833,243.68,98,94,1.48,RU,1643478431
Kruisfontein,-34.0033,24.7314,294.2,75,0,4.46,ZA,1643478431
Avarua,-21.2078,-159.775,297.18,94,50,1.54,CK,1643478431
Doha,25.2867,51.5333,290.14,63,0,3.09,QA,1643478142
Axochiapan,18.5,-98.7667,298.81,32,6,2.69,MX,1643478432
Port Hardy,50.6996,-127.4199,280.79,81,100,8.75,CA,1643478283
Bluff,-46.6,168.3333,287.33,88,100,3.36,NZ,1643478432
São João da Barra,-21.6403,-41.0511,305.2,81,96,6.81,BR,1643478432
Nikolskoye,59.7035,30.7861,270.3,88,100,5.28,RU,1643478432
Leh,34.1667,77.5833,255.93,94,82,0.82,IN,1643478433
Mataura,-46.1927,168.8643,285.18,94,99,0.73,NZ,1643478433
Velikooktyabr'skiy,57.4333,33.8159,265.93,93,100,2.66,RU,1643478433
Lebu,-37.6167,-73.65,292.05,68,2,5.19,CL,1643478433
Cape Town,-33.9258,18.4232,295.38,68,20,2.68,ZA,1643478321
Varberg,57.1056,12.2508,280.96,93,100,20.29,SE,1643478433
Castro,-24.7911,-50.0119,288.57,98,100,2.65,BR,1643478433
Yellowknife,62.456,-114.3525,251.16,87,100,2.06,CA,1643478434
Cidreira,-30.1811,-50.2056,296.82,57,58,5.65,BR,1643478434
Kyra,49.5776,111.9753,250.72,96,5,2.11,RU,1643478434
Mahébourg,-20.4081,57.7,300.31,83,40,5.14,MU,1643478391
Romny,50.751,33.4747,270.05,95,99,4.98,UA,1643478434
Khatanga,71.9667,102.5,252.75,99,100,2.06,RU,1643478434
Vaini,-21.2,-175.2,300.78,78,98,6.61,TO,1643478434
Pudem,58.3044,52.1675,257.9,100,98,1.88,RU,1643478435
Port Alfred,-33.5906,26.891,294.71,74,26,6.27,ZA,1643478435
Saldanha,-33.0117,17.9442,299.18,82,1,10.22,ZA,1643478435
Hithadhoo,-0.6,73.0833,300.47,69,100,2.14,MV,1643478435
Mount Isa,-20.7333,139.5,297.02,100,75,3.09,AU,1643478435
Porto-Novo,6.4965,2.6036,304.05,62,88,2.62,BJ,1643478435
Darfo,45.8779,10.1812,282.05,48,14,0.45,IT,1643478435
Aklavik,68.2191,-135.0107,244.61,75,40,0.0,CA,1643478435
Ponta do Sol,32.6667,-17.1,292.99,64,50,3.4,PT,1643478436
Hūn,29.1268,15.9477,284.39,22,34,4.45,LY,1643478436
Caravelas,-17.7125,-39.2481,303.02,61,37,4.91,BR,1643478436
Yavatmal,20.4,78.1333,291.3,24,0,0.66,IN,1643478436
Cocobeach,1.0002,9.5823,300.75,79,100,4.22,GA,1643478436
Lavrentiya,65.5833,-171.0,253.46,84,6,2.3,RU,1643478436
Flinders,-34.5833,150.8552,297.14,84,100,2.68,AU,1643478436
Vostok,46.4856,135.8833,245.56,99,100,1.61,RU,1643478436
Meulaboh,4.1363,96.1285,298.82,87,90,0.81,ID,1643478437
Naze,28.3667,129.4833,286.46,79,99,5.92,JP,1643478437
Cabo San Lucas,22.8909,-109.9124,298.49,66,34,2.68,MX,1643478437
Thompson,55.7435,-97.8558,251.24,84,20,1.03,CA,1643478437
Forsytheganj,52.6333,29.7333,266.76,95,95,3.07,BY,1643478437
Ahipara,-35.1667,173.1667,287.86,90,94,2.8,NZ,1643478437
Puerto Ayora,-0.7393,-90.3518,301.13,77,74,4.42,EC,1643478437
Assiut,27.181,31.1837,288.25,47,2,3.44,EG,1643478437
Hay River,60.8156,-115.7999,254.14,78,75,2.06,CA,1643478257
Bethel,41.3712,-73.414,265.33,83,100,2.24,US,1643478438
Sailāna,23.4667,74.9167,288.75,31,0,1.21,IN,1643478438
Ciudad Bolivar,8.1222,-63.5497,307.01,28,50,3.92,VE,1643478438
Barrow,71.2906,-156.7887,250.16,70,40,5.14,US,1643478438
Batemans Bay,-35.7167,150.1833,297.15,96,100,0.66,AU,1643478438
Makakilo City,21.3469,-158.0858,296.09,76,0,2.06,US,1643478438
Los Llanos de Aridane,28.6585,-17.9182,291.01,74,20,1.34,ES,1643478439
Tatarskaya Kargala,51.9495,55.1731,263.16,100,64,1.31,RU,1643478439
Ardmore,34.1743,-97.1436,289.62,27,0,1.34,US,1643478439
Bāfq,31.6128,55.4107,283.28,29,45,0.2,IR,1643478234
Bredasdorp,-34.5322,20.0403,293.86,68,0,7.2,ZA,1643478439
Saint-Philippe,-21.3585,55.7679,299.92,85,68,4.36,RE,1643478439
Bambous Virieux,-20.3428,57.7575,300.29,83,40,5.14,MU,1643478439
Xiaoweizhai,26.1903,107.5125,273.62,95,69,1.59,CN,1643478439
Namatanai,-3.6667,152.4333,299.38,82,100,1.37,PG,1643478439
Beloha,-25.1667,45.05,296.11,85,6,5.64,MG,1643478440
Halmstad,56.6745,12.8568,281.34,86,100,13.38,SE,1643478440
Paita,-5.0892,-81.1144,300.46,66,88,4.82,PE,1643478440
Williams Lake,52.1415,-122.1445,271.91,76,100,4.12,CA,1643478440
Namikupa,-10.8333,39.6,294.16,99,100,1.18,TZ,1643478440
Upernavik,72.7868,-56.1549,257.34,91,100,1.76,GL,1643478440
Bosaso,11.2842,49.1816,296.78,64,84,3.58,SO,1643478441
Sobolevo,54.4299,31.8996,268.39,91,100,3.01,RU,1643478441
Edson,53.5835,-116.4356,272.23,69,90,1.03,CA,1643478441
Geraldton,-28.7667,114.6,294.89,88,0,2.57,AU,1643478441
Carnarvon,-24.8667,113.6333,297.19,88,5,3.6,AU,1643478441
Katsuura,35.1333,140.3,278.23,85,61,6.15,JP,1643478441
Souillac,-20.5167,57.5167,300.36,83,40,5.14,MU,1643478441
Grindavik,63.8424,-22.4338,275.41,80,75,10.8,IS,1643478442
Mangaratiba,-22.9597,-44.0406,300.78,92,99,3.5,BR,1643478442
Codrington,-38.2667,141.9667,289.68,83,89,2.87,AU,1643478442
East London,-33.0153,27.9116,295.67,73,40,4.12,ZA,1643478442
Kumul,42.8,93.45,267.1,48,3,2.36,CN,1643478440
Esso,55.9333,158.7,265.18,95,100,1.89,RU,1643478442
Pareora,-44.4871,171.2132,287.14,97,88,1.57,NZ,1643478443
Manokwari,-0.8667,134.0833,298.32,78,95,2.14,ID,1643478443
Lagoa,39.05,-27.9833,287.63,75,32,5.23,PT,1643478443
Chokurdakh,70.6333,147.9167,249.74,85,100,1.66,RU,1643478443
Tasiilaq,65.6145,-37.6368,265.24,79,99,2.02,GL,1643478443
Chumikan,54.7183,135.315,254.43,90,100,9.11,RU,1643478443
Jamestown,42.097,-79.2353,264.55,48,0,3.13,US,1643478443
Provideniya,64.3833,-173.3,256.5,89,9,2.52,RU,1643478444
Nouadhibou,20.931,-17.0347,293.14,68,97,7.72,MR,1643478444
Esperance,-33.8667,121.9,292.06,72,2,7.13,AU,1643478444
Anadyr,64.75,177.4833,250.43,84,40,1.0,RU,1643478444
George Town,5.4112,100.3354,301.98,85,20,0.45,MY,1643478394
Skovorodino,53.9833,123.9167,251.31,90,25,1.99,RU,1643478444
Madang,-5.2246,145.7966,297.88,91,100,3.04,PG,1643478444
Fortuna,40.5982,-124.1573,280.66,70,1,3.6,US,1643478445
Avanigadda,16.0215,80.9181,293.08,84,1,1.57,IN,1643478445
Lavos,40.0936,-8.8283,292.14,43,0,2.88,PT,1643478445
Faanui,-16.4833,-151.75,300.01,74,13,5.52,PF,1643478445
Tamiahua,21.2667,-97.45,287.73,69,100,5.62,MX,1643478445
Lompoc,34.6391,-120.4579,291.55,57,1,3.6,US,1643478445
Constitución,-35.3333,-72.4167,293.12,68,14,5.02,CL,1643478445
Mount Gambier,-37.8333,140.7667,289.1,82,100,4.12,AU,1643478445
Sioux Lookout,50.1001,-91.917,258.36,85,100,2.06,CA,1643478446
Myitkyina,25.3833,97.4,284.59,75,0,1.3,MM,1643478446
Abu Dhabi,24.4667,54.3667,293.21,74,0,2.57,AE,1643477856
Torbay,47.6666,-52.7314,274.97,88,100,8.23,CA,1643478446
Ribeira Grande,38.5167,-28.7,291.37,55,20,2.57,PT,1643478407
Valparaíso,-33.0393,-71.6273,294.28,64,75,6.17,CL,1643478193
Xique-Xique,-10.8218,-42.7263,297.0,76,99,4.8,BR,1643478446
Necochea,-38.5473,-58.7368,305.39,37,0,5.1,AR,1643478446
Krutaya Gorka,55.3649,73.2231,255.19,85,100,4.15,RU,1643478446
Kaitangata,-46.2817,169.8464,285.32,90,100,0.7,NZ,1643478447
Vysokogornyy,50.1167,139.15,244.2,100,96,1.3,RU,1643478447
São Filipe,14.8961,-24.4956,294.86,71,100,4.51,CV,1643478447
Lüderitz,-26.6481,15.1594,294.49,73,59,8.06,NA,1643478447
Hong Kong,22.2855,114.1577,290.51,81,79,0.89,HK,1643478395
Kununurra,-15.7667,128.7333,299.14,94,40,2.06,AU,1643478447
Evans,33.5337,-82.1307,279.13,38,20,3.58,US,1643478447
Hambantota,6.1241,81.1185,299.24,81,49,2.82,LK,1643478447
Torrevieja,37.9787,-0.6822,287.49,67,0,1.6,ES,1643478448
Ust'-Ishim,57.6935,71.1665,259.23,94,100,2.32,RU,1643478448
Airai,-8.9266,125.4092,289.16,92,100,1.61,TL,1643478448
Weligama,5.9667,80.4167,298.86,85,86,1.45,LK,1643478448
Province of Mantua,45.1667,10.7833,280.27,59,50,1.25,IT,1643478448
Aksarayskiy,46.7924,48.0119,272.12,81,98,5.01,RU,1643478448
Shumskiy,54.8318,99.1328,250.54,97,64,1.36,RU,1643478448
Mayumba,-3.432,10.6554,298.46,86,98,2.12,GA,1643478448
Hobart,-42.8794,147.3294,289.07,76,100,3.09,AU,1643478449
Tuktoyaktuk,69.4541,-133.0374,250.15,77,100,6.69,CA,1643478449
Port Elizabeth,-33.918,25.5701,295.43,73,0,5.14,ZA,1643478443
Husavik,66.0449,-17.3389,270.1,76,16,8.92,IS,1643478449
Bellary,15.15,76.9333,294.49,51,0,2.12,IN,1643478449
Acaponeta,22.4964,-105.3594,303.34,28,0,1.87,MX,1643478449
San Quintín,30.4833,-115.95,291.15,32,24,2.56,MX,1643478449
Rakaia,-43.75,172.0167,287.49,68,73,1.34,NZ,1643478450
Severo-Kuril'sk,50.6789,156.125,268.4,74,95,8.71,RU,1643478450
Bairiki Village,1.3292,172.9752,300.15,89,40,5.14,KI,1643478450
Acajutla,13.5928,-89.8275,304.71,48,0,3.33,SV,1643478450
Moose Factory,51.2585,-80.6094,254.15,65,0,1.54,CA,1643478450
Hamilton,39.1834,-84.5333,269.06,64,20,0.89,US,1643478450
Raja,8.4596,25.678,295.52,18,88,2.15,SS,1643478451
Ulaanbaatar,47.9077,106.8832,246.22,69,0,0.0,MN,1643478330
Ola,59.5833,151.2833,260.8,79,100,7.07,RU,1643478451
Dikson,73.5069,80.5464,256.76,93,98,9.62,RU,1643478451
Kapit,2.0167,112.9333,296.16,99,100,0.25,MY,1643478451
Hilo,19.7297,-155.09,293.59,86,57,2.24,US,1643478431
Eureka,40.8021,-124.1637,280.81,54,2,0.89,US,1643478370
Labuhan,-6.8844,112.2051,298.58,86,100,2.03,ID,1643478452
Bulolo,-7.2,146.65,293.58,92,99,1.39,PG,1643478452
Mar del Plata,-38.0023,-57.5575,295.3,83,0,8.49,AR,1643478452
Darhan,49.4867,105.9228,247.04,99,28,1.48,MN,1643478452
Camopi,3.1655,-52.3158,299.04,85,99,1.44,GF,1643478452
Ayan,56.45,138.1667,255.84,81,100,8.04,RU,1643478452
Cayenne,4.9333,-52.3333,303.17,80,75,1.79,GF,1643478452
Hoquiam,46.9809,-123.8893,279.22,88,0,4.12,US,1643478452
Nanortalik,60.1432,-45.2371,266.9,80,100,6.41,GL,1643478452
Papetoai,-17.4961,-149.8729,298.92,74,84,6.89,PF,1643478453
Atar,20.5169,-13.0499,302.84,13,99,3.76,MR,1643478453
Araouane,18.9048,-3.5265,298.72,10,94,5.1,ML,1643478453
Qaqortoq,60.7167,-46.0333,266.43,85,100,5.07,GL,1643478453
Tomé,-36.6167,-72.95,289.49,69,27,3.82,CL,1643478453
Parsons,37.3403,-95.2611,283.25,32,1,8.05,US,1643478453
Gravdal,68.1214,13.5031,271.32,90,100,4.41,NO,1643478453
Beira,-19.8436,34.8389,301.2,78,20,6.71,MZ,1643478453
Dalnegorsk,44.5604,135.5701,255.23,73,32,4.92,RU,1643478454
Coos Bay,43.3665,-124.2179,279.79,81,0,2.57,US,1643478454
Mana,5.6592,-53.7767,300.87,67,90,3.79,GF,1643478454
Sørland,67.667,12.6934,272.79,89,100,8.53,NO,1643478454
Gniezno,52.5348,17.5826,279.1,92,100,10.9,PL,1643478454
Kavieng,-2.5744,150.7967,300.69,76,100,3.08,PG,1643478454
Brighton,50.8284,-0.1395,285.23,89,20,5.36,GB,1643478454
Sitka,57.0531,-135.33,277.09,87,100,2.06,US,1643478407
Hangu,39.2489,117.7892,269.29,41,0,0.52,CN,1643478455
Promyshlennaya,54.9159,85.6385,256.68,100,83,1.35,RU,1643478455
Shenzhen,22.5455,114.0683,290.45,83,85,2.47,CN,1643478455
Collie,-33.3667,116.15,290.92,77,37,2.53,AU,1643478455
Baturaja,-4.1333,104.1667,296.06,97,93,0.55,ID,1643478455
Kigoma,-4.8769,29.6267,297.35,74,100,1.75,TZ,1643478455
Swellendam,-34.0226,20.4417,293.36,59,0,5.23,ZA,1643478261
Rondonópolis,-16.4708,-54.6356,300.17,84,100,1.91,BR,1643478226
Ugoofaaru,5.6667,73.0,301.13,73,67,6.84,MV,1643478456
Whitehorse,60.7161,-135.0538,266.58,79,100,2.68,CA,1643478456
Tūkrah,32.5341,20.5791,285.1,60,95,13.35,LY,1643478456
Vikhorevka,56.1201,101.1636,249.92,100,86,0.74,RU,1643478456
Fort Portal,0.6617,30.2748,292.89,40,93,0.85,UG,1643478456
Naryan-Mar,67.6713,53.087,260.85,94,99,5.75,RU,1643478456
La Ronge,55.1001,-105.2842,259.29,78,75,2.06,CA,1643478456
Beringovskiy,63.05,179.3167,249.49,100,100,2.32,RU,1643478457
Ilhabela,-23.7781,-45.3581,297.02,93,100,2.71,BR,1643478457
Makat,47.6469,53.3463,268.47,92,63,4.29,KZ,1643478457
Liberal,37.0431,-100.921,286.3,20,0,6.17,US,1643478457
Leiyang,26.4024,112.8591,275.16,93,100,2.55,CN,1643478457
Barcelona,41.3888,2.159,287.41,62,0,2.06,ES,1643478359
Uglovskoye,51.3557,80.1942,259.6,75,55,5.88,RU,1643478182
Fort Frances,48.5999,-93.4003,265.46,73,100,2.06,CA,1643478457
Zhaoyang,42.682,126.0305,254.01,91,4,1.95,CN,1643478457
Longyearbyen,78.2186,15.6401,260.06,66,20,7.72,SJ,1643478457
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,310.99,14,0,3.39,AR,1643478267
Shingū,33.7333,135.9833,277.27,76,100,2.69,JP,1643478458
Oranjemund,-28.55,16.4333,292.49,80,35,5.31,NA,1643478458
Haines Junction,60.7522,-137.5108,262.12,73,100,4.63,CA,1643478458
Simao,22.7886,100.9748,281.35,55,0,0.72,CN,1643478458
Conde,-7.2597,-34.9075,302.85,66,75,2.06,BR,1643478458
Qaanaaq,77.484,-69.3632,252.56,63,84,4.19,GL,1643478458
Port Blair,11.6667,92.75,299.17,83,75,1.03,IN,1643478458
Lashio,22.9333,97.75,282.02,69,1,0.65,MM,1643478459
Kahului,20.8947,-156.47,295.16,68,20,5.14,US,1643478459
Måløy,61.9353,5.1136,276.89,88,100,3.13,NO,1643478459
Buala,-8.145,159.5921,299.7,81,100,2.98,SB,1643478459
Puerto Cabello,10.4731,-68.0125,305.9,78,55,4.06,VE,1643478459
San Angelo,31.4638,-100.437,287.34,32,1,1.34,US,1643478459
Örnsköldsvik,63.2909,18.7153,273.05,100,100,2.57,SE,1643478460
Jalu,29.0331,21.5482,286.33,43,3,5.01,LY,1643478460
Laas,46.6166,10.7002,277.85,72,25,4.0,IT,1643478460
Luanda,-8.8368,13.2343,301.15,74,75,4.12,AO,1643478460
Marabu,4.4148,114.0089,299.23,94,40,0.0,MY,1643478460
Juneau,58.3019,-134.4197,278.83,92,100,8.23,US,1643478460
Berlevåg,70.8578,29.0864,270.17,78,99,2.67,NO,1643478460
Dingle,10.9995,122.6711,297.33,91,51,1.14,PH,1643478461
Paratinga,-12.6906,-43.1842,299.13,80,100,3.6,BR,1643478461
Te Anau,-45.4167,167.7167,286.46,90,100,1.2,NZ,1643478461
Dillon,34.4166,-79.3712,277.66,44,67,8.85,US,1643478461
Shubarshi,48.5872,57.1869,263.06,97,90,3.43,KZ,1643478461
Honjō,36.2333,139.1833,274.46,52,74,2.9,JP,1643478461
Verāval,20.9,70.3667,293.52,57,0,3.98,IN,1643478461
Cunha,-23.0744,-44.9597,294.83,96,100,1.17,BR,1643478461
Alice Springs,-23.7,133.8833,296.9,94,75,5.66,AU,1643478297
Savannah Bight,16.45,-85.85,302.18,72,19,5.8,HN,1643478462
Karratha,-20.7377,116.8463,302.04,61,92,6.68,AU,1643478462
Lorengau,-2.0226,147.2712,300.5,77,100,3.46,PG,1643478462
Lucea,18.451,-78.1736,301.07,61,1,4.13,JM,1643478462
College,64.8569,-147.8028,250.12,71,20,1.54,US,1643478462
Doka,13.5167,35.7667,298.78,29,14,5.43,SD,1643478462
Narragansett,41.4501,-71.4495,267.06,81,100,10.73,US,1643478462
Mucurapo,10.6667,-61.5333,303.72,64,91,4.18,TT,1643478463
Nsanje,-16.92,35.262,297.63,82,44,1.77,MW,1643478463
Mogadishu,2.0371,45.3438,298.82,79,69,10.18,SO,1643478398
Tommot,58.9564,126.2925,252.77,94,100,3.87,RU,1643478463
Iranshahr,27.2025,60.6848,290.34,42,0,0.0,IR,1643478463
Lata,40.1629,-8.3327,291.38,47,0,2.01,PT,1643478463
Chui,-33.6971,-53.4616,298.19,51,38,4.81,UY,1643478463
Ekhabi,53.5102,142.9671,247.78,87,9,5.18,RU,1643478464
Safi,32.2994,-9.2372,290.56,69,56,6.03,MA,1643478464
Srednekolymsk,67.45,153.6833,241.6,100,84,2.24,RU,1643478268
Vigrestad,58.5667,5.7,279.03,72,95,20.88,NO,1643478464
Dudinka,69.4058,86.1778,255.71,94,100,6.55,RU,1643478464
Khuzhir,53.1939,107.3397,254.96,92,83,0.67,RU,1643478464
Marsh Harbour,26.5412,-77.0636,288.25,61,68,13.87,BS,1643478464
Walvis Bay,-22.9575,14.5053,290.98,77,22,4.63,NA,1643478464
Taltal,-25.4,-70.4833,293.39,71,12,2.65,CL,1643478464
Gorgan,36.8387,54.4348,277.13,93,0,2.06,IR,1643478327
Itacarambi,-15.1022,-44.0919,302.08,58,100,3.63,BR,1643478465
